model_name,dataset,accuracy,precision,recall,f1_score,roc_auc,prediction_time
xgboost,validation,0.999285572534233,0.999285572534233,0.999285572534233,0.999285572534233,0.9999911990499228,0.0458064079284668
lightgbm,validation,0.9993649533637626,0.999364989937233,0.9993649533637626,0.999364946339142,0.9999946751086224,0.10570001602172852
gradient_boosting,validation,0.9986505258979956,0.9986505948856852,0.9986505258979956,0.9986505034811355,0.9999146307842519,0.1033637523651123
extra_trees,validation,0.9989283588013494,0.9989291713867896,0.9989283588013494,0.998928308043093,0.9999086474045231,0.33591556549072266
mlp,validation,0.9964675530859297,0.9964690308499792,0.9964675530859297,0.9964673059061028,0.9998135148326464,0.03338456153869629
voting_classifier,validation,0.9989680492161143,0.9989689705086804,0.9989680492161143,0.9989679974329038,0.9999909394535537,0.489105224609375
