feature,importance
src_bytes,1117
service,1096
byte_ratio,889
bytes_per_second,712
dst_host_srv_count,675
dst_host_count,648
dst_host_diff_srv_rate,642
total_bytes,519
dst_host_same_src_port_rate,446
dst_host_same_srv_rate,432
dst_host_rerror_rate,420
dst_host_srv_diff_host_rate,419
dst_bytes,372
duration,349
dst_host_serror_rate,337
count,337
protocol_type,294
srv_count,291
dst_host_srv_serror_rate,288
flag,218
