feature,importance
total_bytes,0.7337247084788815
protocol_type,0.058385606772672786
dst_host_srv_count,0.04209738653132316
src_bytes,0.030187472080995672
flag,0.026853945630709086
hot,0.024050469772580487
byte_ratio,0.02403481887500832
dst_host_diff_srv_rate,0.010642623120452773
diff_srv_rate,0.007931597330377183
logged_in,0.007855860292455271
dst_host_same_src_port_rate,0.007190032574619021
service,0.0071013178777122685
bytes_per_second,0.004680192849040558
dst_host_same_srv_rate,0.0030103608658223853
count,0.002320641589890033
dst_bytes,0.001968091937105822
dst_host_serror_rate,0.0017309054909350385
duration,0.0012184282517644998
num_failed_logins,0.0011271762501388059
dst_host_rerror_rate,0.0007420423643592538
