feature,importance
total_bytes,0.7361306132602949
protocol_type,0.058381521243184256
dst_host_srv_count,0.04195165368438059
src_bytes,0.030152353872144357
hot,0.024132530646656204
byte_ratio,0.02409013518038793
bytes_per_second,0.015812707250658718
flag,0.014931806794498789
dst_host_diff_srv_rate,0.010647070239520507
logged_in,0.008971551752722094
diff_srv_rate,0.008142674160049244
dst_host_same_src_port_rate,0.0073123102689790906
service,0.006740209915647174
dst_host_same_srv_rate,0.0029660892438498287
count,0.002296410954633458
dst_host_serror_rate,0.0016445048809260775
dst_bytes,0.0015837042368028814
duration,0.0011464303151007683
dst_host_srv_diff_host_rate,0.0006365065456366275
dst_host_count,0.0006304259414913509
