model_name,dataset,accuracy,precision,recall,f1_score,roc_auc,prediction_time
xgboost,validation,0.9970232188926375,0.9970265121348479,0.9970232188926375,0.9970229319389723,0.9999522061907227,0.014200687408447266
lightgbm,validation,0.9974201230402858,0.9974234943578927,0.9974201230402858,0.9974198743471094,0.9999708805930231,0.02249002456665039
gradient_boosting,validation,0.9974201230402858,0.9974201321486806,0.9974201230402858,0.997420088130953,0.9995821998129395,0.012488842010498047
extra_trees,validation,0.9962294105973407,0.9962348587393908,0.9962294105973407,0.9962289405610611,0.9997348393130985,0.1438429355621338
mlp,validation,0.991863464973209,0.9918657432352672,0.991863464973209,0.9918626806331908,0.9982088399556246,0.027225494384765625
voting_classifier,validation,0.9970232188926375,0.9970247841529443,0.9970232188926375,0.9970230151148972,0.9999268849672645,0.2527964115142822
