Model,NSL_Accuracy,NSL_F1,NSL_Precision,NSL_Recall,CIC_Accuracy,CIC_F1,CIC_Precision,CIC_Recall,Accuracy_Drop,F1_Drop,Generalization_Score
Random Forest,0.7755500354861604,0.760756501182033,0.9672958999639293,0.6268993999844151,0.8187246715578493,0.07810767326233614,0.27630377724523564,0.045482509075369,-0.04317463607168892,0.6826488279196968,1.055669697757959
XGBoost,0.7906760113555713,0.7807258027043353,0.9669659300184162,0.6546403802696174,0.19042905023148937,0.2933696447696479,0.17203848962047325,0.9953366926678532,0.6002469611240819,0.48735615793468745,0.24084333848071227
LightGBM,0.7900993612491128,0.7799888413613539,0.9669164265129683,0.653627366944596,0.1781052838569563,0.29012406553640746,0.16982787027853924,0.9947402777321205,0.6119940773921566,0.4898647758249465,0.22542137431345277
