model_name,dataset,accuracy,precision,recall,f1_score,roc_auc,prediction_time
xgboost,validation,0.9991456413834663,0.9991471436704413,0.9991456413834663,0.9991460703010764,0.9999781288635314,0.4581184387207031
lightgbm,validation,0.998998953361138,0.9990043420788498,0.998998953361138,0.9990000661074098,0.99997713548907,1.471303939819336
gradient_boosting,validation,0.998465722577269,0.9984649472075353,0.998465722577269,0.9984651692921809,0.9999358769602926,2.536945343017578
extra_trees,validation,0.9982932650375046,0.9982929886437728,0.9982932650375046,0.9982931172960873,0.9990726565055994,3.0993688106536865
mlp,validation,0.9969770373776939,0.9969735305220373,0.9969770373776939,0.9969728112252764,0.9998526778520621,1.0948143005371094
voting_classifier,validation,0.9986361978464613,0.9986357211148107,0.9986361978464613,0.9986358977895684,0.9999512171153848,6.346679449081421
