Model,CIC_Accuracy,CIC_F1,CIC_Precision,CIC_Recall,NSL_Accuracy,NSL_F1,NSL_Precision,NSL_Recall,Accuracy_Drop,F1_Drop,Generalization_Score,Training_Time,Prediction_Time
Random Forest,0.9959383356492816,0.9878633157018724,0.9968679394149502,0.9790199117122194,0.43075762952448543,0.0,0.0,0.0,0.5651807061247962,0.9878633157018724,0.43251435767221647,119.23026037216187,0.025531768798828125
XGBoost,0.9992031288096687,0.9976422010815376,0.9967886359907175,0.99849722926646,0.43075762952448543,0.0,0.0,0.0,0.5684454992851833,0.9976422010815376,0.431101161620299,11.177188634872437,0.005530834197998047
LightGBM,0.9989196646797748,0.9968017745749881,0.9964801539346012,0.9971236028928336,0.43075762952448543,0.0,0.0,0.0,0.5681620351552894,0.9968017745749881,0.43122349549758243,10.874630451202393,0.01241755485534668
